market_id,poly_token_id,Date,polymarket_prob
556062,57301498276970257025109591078431189727442302532145853906375186182281603517458,2026-04-09,0.095
556062,57301498276970257025109591078431189727442302532145853906375186182281603517458,2026-04-10,0.1
556063,78059086946243166298250434231742381590921423205138738331803802527161013528631,2026-04-09,0.0195
556063,78059086946243166298250434231742381590921423205138738331803802527161013528631,2026-04-10,0.0195
556108,96797656031191119176188453471637044475353637081608890153571023284371119486681,2026-04-09,0.4555
556108,96797656031191119176188453471637044475353637081608890153571023284371119486681,2026-04-10,0.4605
559651,32338220190071351435772801779725302244575775216413325951443816017994629993401,2026-04-09,0.0735
559651,32338220190071351435772801779725302244575775216413325951443816017994629993401,2026-04-10,0.0795
560317,350977769852917329387037893294763093471844346281449484439085576212613048126,2026-04-09,0.105
560317,350977769852917329387037893294763093471844346281449484439085576212613048126,2026-04-10,0.105
